Topic/Sector,Entity/Subject,Key Player/Organization,Timeline,Expected Impact/Value,Source,Latitude,Longitude,Broad_Category
Geopolitics,America's 250th Birthday Commemoration (Semiquincentennial),"America250 Commission, Task Force 250 (Donald Trump)","The coming year (starting 2026), leading up to July 4th","A straightforward display of America's fractured state, with two rival national commissions planning events; metaphor for partisan battleground in politics/history.",1,37.0902,-95.7129,Geopolitics & Conflict
Geopolitics,Audit of American History at federal sites and Smithsonian museums,Donald Trump administration,"Executive order issued March 2025; results/actions likely in 2026","To extol American greatness and extirpate 'divisive narratives,' leading to the removal of exhibits related to slavery at national parks.",1,38.9072,-77.0369,Geopolitics & Conflict
Geopolitics / Conflict Resolution,Ceasefire in Sudan Civil War,"Donald Trump, foreign ministers from Egypt, Saudi Arabia, and the UAE (potential actors)","2026 (possible)","A quick, dirty, Trump-backed truce is possible, but unlikely to lead to lasting peace; potential deal to carve up Sudan's minerals (gold) and grant power sharing, ignoring civilians.",2,12.8628,30.2176,Geopolitics & Conflict
Pharmaceuticals / Health Care,"Oral GLP-1 drugs (semaglutide, orforglipron) launch","Novo Nordisk, Eli Lilly",2026,"Less effective (12.4%-16.6% weight loss vs 16-23% for jabs) but far more convenient, leading to a growth in options.",3,0.0,0.0,Health & Society
Pharmaceuticals / Health Care,Retatrutide (triple agonist injectable),Eli Lilly,"2026 (attention turns to it; phase-three trials due end of 2025)","Dubbed the 'Godzilla' of weight-loss medicines; 24% body weight loss over 48 weeks demonstrated in phase-two trials (needs replication in phase-three).",3,0.0,0.0,Health & Society
Pharmaceuticals / Health Care,CagriSema (combination of Wegovy and amylin analogue),Novo Nordisk,"2026 (attention turns to it)","Demonstrated a 23% loss in phase-three trials.",3,0.0,0.0,Health & Society
Pharmaceuticals / Health Care,MariTide (monthly injectable GLP-1),Amgen,"2026 (needs confirmation in phase-three trials)","Seems to offer a 20% weight loss after a year.",3,0.0,0.0,Health & Society
Pharmaceuticals / Health Care,Bimagrumab (antibody drug to increase skeletal muscle mass) combined with semaglutide,Eli Lilly,"Trials continue in 2026","Delivers 22% weight reduction after 72 weeks (93% fat loss, compared to 72% with semaglutide alone).",3,0.0,0.0,Health & Society
Pharmaceuticals / Health Care,Patent expiry for semaglutide,Generic manufacturers (in certain markets),"2026 (in many markets, but not America and Europe)","Generic manufacturers will be able to make cheap copies and expand availability in countries like Brazil, China, and India. Potential to save 2.1m-3.1m lives a year globally if available to all with obesity and diabetes.",3,37.0902,-95.7129,Health & Society
Geopolitics / Trade,Review of the United States-Mexico-Canada Agreement (USMCA),"United States, Mexico, Canada (under Donald Trump)","July 2026 (start of review)","Decision on extending the deal for a further 16 years; could be 'ugly' negotiations focused on rules of origin for vehicles, China's role in supply chains, and non-tariff barriers (e.g., dairy, energy policy). Disruption would raise prices and undercut regional competitiveness.",4,37.0902,-95.7129,Economy & Trade
